SOURCE	TARGET	FWD_RATE	RVS_RATE
PER-araF	SMALL-PER-alpha-L-arabinofuranose	1.0	1.0
PER-araF	SMALL-PER-beta-L-arabinofuranose	1.0	1.0
PER-araF	SMALL-PER-alpha-L-arabinopyranose	1.0	1.0
PER-araF	SMALL-PER-beta-L-arabinopyranose	1.0	1.0
[crp,crp]	SMALL-CAMP	1.0	1.0
[crp,SMALL-CAMP,crp]	SMALL-CAMP	1.0	1.0
[lacI,lacI]	SMALL-ALLOLACTOSE	1.0	1.0
[lacI,SMALL-ALLOLACTOSE,lacI]	SMALL-ALLOLACTOSE	1.0	1.0
[araG,araG]	SMALL-ATP	1.0	1.0
araC	SMALL-alpha-L-arabinopyranose	1.0	1.0
[araC,araC]	SMALL-alpha-L-arabinopyranose	1.0	1.0
[araC,SMALL-alpha-L-arabinopyranose,araC]	SMALL-alpha-L-arabinopyranose	1.0	1.0

araA	araA	1.0	1.0
[araA,araA]	[araA,araA]	1.0	1.0
[araA,araA]	[araA,araA,araA,araA]	1.0	1.0
[araA,araA]	araA	1.0	1.0
[araA,araA,araA]	[araA,araA,araA]	1.0	1.0
araB	araB	1.0	1.0
araD	araD	1.0	1.0
[araD,araD]	[araD,araD]	1.0	1.0
araG	araG	1.0	1.0
araH	araH	1.0	1.0
[araH,araH]	[araG,araG]	1.0	1.0
araF	[araH,araH,araG,araG]	1.0	1.0
