SOURCE	TARGET	FWD_DOCK_RATE	RVS_DOCK_RATE	FWD_SLIDE_RATE	FWD_FALL_RATE	FWD_DOCK_RATE	RVS_DOCK_RATE	FWD_SLIDE_RATE	FWD_FALL_RATE
araB-pro1	araB-rbs	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
araB-rbs	araB-cds	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0
araB-cds	araA-rbs	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
araA-rbs	araA-cds	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0
araA-cds	araD-rbs	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
araD-rbs	araD-cds	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0
araD-cds	araD-ter1	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0

araC-pro1	BS-araC-56-72	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
BS-araC-56-72	araC-rbs	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
araC-rbs	araC-cds	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0
araC-cds	araC-ter1	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0

araE-pro1	araE-rbs	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0
araE-rbs	araE-cds	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0
araE-cds	araE-ter1	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0

araF-pro1	araF-rbs	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
araF-rbs	araF-cds	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0
araF-cds	araG-rbs	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
araG-rbs	araG-cds	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0
araG-cds	araH-rbs	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
araH-rbs	araH-cds	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0
araH-cds	araH-ter1	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0
