GENE	REACTION	SUBSTRATES	PRODUCTS	FWD_RATE	RVS_RATE
araE	TRANS-RXN-10-alpha-af	PER-PROTON,PER-alpha-L-arabinofuranose	PROTON,alpha-L-arabinofuranose	1.0	0.0
araE	TRANS-RXN-10-beta-af	PER-PROTON,PER-beta-L-arabinofuranose	PROTON,beta-L-arabinofuranose	1.0	0.0
araE	TRANS-RXN-10-alpha-ap	PER-PROTON,PER-alpha-L-arabinopyranose	PROTON,alpha-L-arabinopyranose	0.0001	0.0
araE	TRANS-RXN-10-beta-ap	PER-PROTON,PER-beta-L-arabinopyranose	PROTON,beta-L-arabinopyranose	0.0001	0.0

[araF,araH,araH,araG,araG]	ABC-2-RXN-alpha-af	WATER,ATP,PER-alpha-L-arabinofuranose	Pi,ADP,PROTON,alpha-L-arabinofuranose	1.0	0.0
[araF,araH,araH,araG,araG]	ABC-2-RXN-beta-af	WATER,ATP,PER-beta-L-arabinofuranose	Pi,ADP,PROTON,beta-L-arabinofuranose	1.0	0.0
[araF,araH,araH,araG,araG]	ABC-2-RXN-alpha-ap	WATER,ATP,PER-alpha-L-arabinopyranose	Pi,ADP,PROTON,alpha-L-arabinopyranose	1.0	0.0
[araF,araH,araH,araG,araG]	ABC-2-RXN-beta-ap	WATER,ATP,PER-beta-L-arabinopyranose	Pi,ADP,PROTON,beta-L-arabinopyranose	1.0	0.0

araA	ARABISOM-RXN-alpha-ap	alpha-L-arabinopyranose	L-RIBULOSE	1.0	0.0
araA	ARABISOM-RXN-beta-ap	beta-L-arabinopyranose	L-RIBULOSE	1.0	0.0

araB	RXN0-5116	L-RIBULOSE,ATP	PROTON,L-RIBULOSE-5-P,ADP	1.0	0.0

araD	RIBULPEPIM-RXN	L-RIBULOSE-5-P	XYLULOSE-5-PHOSPHATE	1.0	0.0
